Id|CategoryId|ItemId|Display|Rank|Voided
5d32d834-0056-11e8-ba89-0ed5f89f718b|cdeaeb4e-0055-11e8-ba89-0ed5f89f718b|cdeaec70-0055-11e8-ba89-0ed5f89f718b||1|0
5d32dc80-0056-11e8-ba89-0ed5f89f718b|cdeaeb4e-0055-11e8-ba89-0ed5f89f718b|cdeaed92-0055-11e8-ba89-0ed5f89f718b||2|0
5d32dee2-0056-11e8-ba89-0ed5f89f718b|cdeaeb4e-0055-11e8-ba89-0ed5f89f718b|cdeaef90-0055-11e8-ba89-0ed5f89f718b||3|0
5d32e130-0056-11e8-ba89-0ed5f89f718b|cdeaeb4e-0055-11e8-ba89-0ed5f89f718b|cdeaf184-0055-11e8-ba89-0ed5f89f718b||4|0
6169a01c-005c-11e8-ba89-0ed5f89f718b|a374d85a-0057-11e8-ba89-0ed5f89f718b|b25f0a50-852f-11e7-bb31-be2e44b06b34||1|0
6169a544-005c-11e8-ba89-0ed5f89f718b|a374d85a-0057-11e8-ba89-0ed5f89f718b|b25f102c-852f-11e7-bb31-be2e44b06b34||2|0
6769a544-005c-11e8-ba89-0ed5f89f718b|a374d85a-0059-11e8-ba89-0ed5f89f718b|cdeaed95-0055-11e8-ba89-0ed5f89f718b||1|0
6769a545-005c-11e8-ba89-0ed5f89f718b|a374d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef96-0055-11e8-ba89-0ed5f89f718b||2|0
6769a546-005c-11e8-ba89-0ed5f89f718b|a374d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef97-0055-11e8-ba89-0ed5f89f718b||3|0
0e1002dc-ff64-11e7-8be5-0ed5f89f718b|b25fa190-852f-11e7-bb31-be3e73b06b34|cdeaef01-0055-11e8-ba89-0ed5f89f718b||51|0
cd10f6fa-b5c7-11e8-96f8-529269fb1459|a375d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef01-0056-11e8-ba89-0ed5f89f718b||1|0
cd10fc72-b5c7-11e8-96f8-529269fb1459|a375d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef01-0057-11e8-ba89-0ed5f89f718b||2|0
cd10ffb0-b5c7-11e8-96f8-529269fb1459|a375d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef01-0058-11e8-ba89-0ed5f89f718b||3|0
cd110226-b5c7-11e8-96f8-529269fb1459|a375d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef01-0059-11e8-ba89-0ed5f89f718b||4|0
cd11049c-b5c7-11e8-96f8-529269fb1459|a375d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef01-0060-11e8-ba89-0ed5f89f718b||5|0
cd10f024-b5c7-11e8-96f8-529269fb1459|a376d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef01-0061-11e8-ba89-0ed5f89f718b||1|0
cd10f45c-b5c7-11e8-96f8-529269fb1459|a376d85a-0059-11e8-ba89-0ed5f89f718b|cdeaef01-0062-11e8-ba89-0ed5f89f718b||2|0
